,title,issue,year,metaChar,alias,publisher,keep,firstName,lastName
0,Green Lantern: Willworld,None,2001,Green Lantern,Hal Jordan,DC,1,Hal,Jordan
1,Green Lantern: Willworld,None,2001,Sinestro,,DC,1,null,null
2,Aquaman,56,1962,Aquaman,,DC,1,null,null
3,Birds of Prey,None,2010,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
4,Birds of Prey,None,2010,Aleksandr Creote,,DC,1,null,null
5,Birds of Prey,None,2010,Dove,Dawn Granger,DC,1,Dawn,Granger
6,Birds of Prey,None,2010,Green Lantern,Alan Scott,DC,1,Alan,Scott
7,Birds of Prey,None,2010,Huntress,Helena Bertinelli,DC,1,Helena,Bertinelli
8,Birds of Prey,None,2010,Lady Blackhawk,Zinda Blake,DC,1,Zinda,Blake
9,Birds of Prey,None,2010,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
10,Birds of Prey,None,2010,Penguin,,DC,1,null,null
11,Birds of Prey,None,2010,Savant,,DC,1,null,null
12,Birds of Prey,None,2010,Starman,Ted Knight,DC,1,Ted,Knight
13,Birds of Prey,None,2010,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
14,Birds of Prey,None,2010,Dove,Dawn Granger,DC,1,Dawn,Granger
15,Birds of Prey,None,2010,Huntress,Helena Bertinelli,DC,1,Helena,Bertinelli
16,Birds of Prey,None,2010,Lady Blackhawk,Zinda Blake,DC,1,Zinda,Blake
17,Birds of Prey,None,2010,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
18,Birds of Prey,None,2010,Penguin,,DC,1,null,null
19,Birds of Prey,None,2010,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
20,Birds of Prey,None,2010,Aleksandr Creote,,DC,1,null,null
21,Birds of Prey,None,2010,Dove,Dawn Granger,DC,1,Dawn,Granger
22,Birds of Prey,None,2010,Huntress,Helena Bertinelli,DC,1,Helena,Bertinelli
23,Birds of Prey,None,2010,Lady Blackhawk,Zinda Blake,DC,1,Zinda,Blake
24,Birds of Prey,None,2010,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
25,Birds of Prey,None,2010,Penguin,,DC,1,null,null
26,Birds of Prey,None,2010,Savant,,DC,1,null,null
27,Birds of Prey,None,2010,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
28,Birds of Prey,None,2010,Aleksandr Creote,,DC,1,null,null
29,Birds of Prey,None,2010,Dove,Dawn Granger,DC,1,Dawn,Granger
30,Birds of Prey,None,2010,Huntress,Helena Bertinelli,DC,1,Helena,Bertinelli
31,Birds of Prey,None,2010,Lady Blackhawk,Zinda Blake,DC,1,Zinda,Blake
32,Birds of Prey,None,2010,Oracle,Barbara Gordon,DC,1,Barbara,Gordon
33,Birds of Prey,None,2010,Penguin,,DC,1,null,null
34,Birds of Prey,None,2010,Savant,,DC,1,null,null
35,Birds of Prey,None,2010,Black Canary,Dinah Laurel Lance,DC,1,Dinah Laurel,Lance
36,Birds of Prey,None,2010,Aleksandr Creote,,DC,1,null,null
37,Birds of Prey,None,2010,Dove,Dawn Granger,DC,1,Dawn,Granger
38,Birds of Prey,None,2010,Green Lantern,Alan Scott,DC,1,Alan,Scott
39,Birds of Prey,None,2010,Huntress,Helena Bertinelli,DC,1,Helena,Bertinelli
