,title,issueNum,year,creator
0,Green Lantern: Willworld,None,2001,John Marc 'J.M.' DeMatteis
1,Green Lantern: Willworld,None,2001,Chris Chuckry
2,Green Lantern: Willworld,None,2001,Seth Fisher
3,Aquaman,56,1962,Steve Skeates
4,Aquaman,56,1962,Jim Aparo
6,Aquaman,56,1962,Nick Cardy
7,Birds of Prey,None,2010,Nei Ruffino
8,Birds of Prey,None,2010,Gail Simone
9,Wonder Woman: Spirit of Truth,None,2001,Paul Dini
10,Wonder Woman: Spirit of Truth,None,2001,Alex Ross
12,Wonder Woman,180,1942,Michael 'Mike' Sekowsky
13,Wonder Woman,180,1942,Dennis 'Denny' O'Neil
14,Wonder Woman,180,1942,Dick Giordano
15,Justice League of America,238,1960,Gerry Conway
16,Justice League of America,238,1960,Mike Machlan
17,Justice League of America,238,1960,Chuck Patton
18,Justice League of America,238,1960,Gene D'Angelo
19,Arrow [II],34,2012,Ikari Studios
20,Arrow [II],34,2012,David Lopez (Ikari Studio)
21,Arrow [II],34,2012,Vic Drujiniu
22,Arrow [II],34,2012,Juan A. Castro
23,Arrow [II],34,2012,Marc Guggenheim
24,Arrow [II],34,2012,Ben Sokolowski
25,The Flash,39,1987,Greg LaRocque
26,The Flash,39,1987,William Messner-Loebs
27,The Flash,39,1987,Jose Marzan Jr.
28,The Flash,39,1987,Glenn Whitmore
29,The Greatest Batman Stories Ever Told,None,1988,Walter Simonson
30,The Greatest Batman Stories Ever Told,None,1988,Mike Gold
31,Justice League of America,45,1960,Frank Giacoia
32,Justice League of America,45,1960,Joe Giella
33,Justice League of America,45,1960,Michael 'Mike' Sekowsky
35,Justice League of America,45,1960,Gardner F. Fox
36,The Flash,63,1987,Glenn Whitmore
37,The Flash,63,1987,Greg LaRocque
38,The Flash,63,1987,Jose Marzan Jr.
39,The Flash,63,1987,Mark Waid
40,The Flash,151,1987,Duncan Rouleau
41,The Flash,151,1987,Jose Marzan Jr.
42,The Flash,151,1987,Paul Pelletier
43,The Flash,151,1987,Tom J. McCraw
44,The Flash,151,1987,Joe Casey - '(writer)'
45,The Flash,151,1987,Mark Waid
46,The Flash,151,1987,Aaron Sowd
47,The Flash,151,1987,Brian Michael Augustyn
48,Green Arrow,4,2001,Kevin Smith
49,Green Arrow,4,2001,Ande J. Parks
50,Green Arrow,4,2001,Guy Major
51,Green Arrow,4,2001,Phillip 'Phil' Hester
52,Superman: The Doomsday Wars,None,1998,Dan Jurgens
53,Superman: The Doomsday Wars,None,1998,Gregory A. Wright
54,Superman: The Doomsday Wars,None,1998,Norm Rapmund
55,Green Lantern,11,2011,Mark John Irwin
56,Green Lantern,11,2011,Christian Alamy
57,Green Lantern,11,2011,Tom Nguyen
58,Green Lantern,11,2011,Alex Sinclair - 'Sinc'
59,Green Lantern,11,2011,Tony Avia
60,Green Lantern,11,2011,Keith C. Champagne
61,Green Lantern,11,2011,Geoff Johns
62,Green Lantern,11,2011,Doug Mahnke
63,Green Arrow,113,1988,Charles 'Chuck' Dixon
64,Green Arrow,113,1988,William 'Will' Rosado
65,Green Arrow,113,1988,Robert Campanella
